shoutout###14:650322###650322::shoutout_classic:bbc:title:Title:bb:bb:4663966fbf093564,"[div class=""mh"" style=""text-align: hereit;""]Bestellung ändern [/div]"
shoutout###14:650322###650322::shoutout_classic:bbc:description:Description:bb:bb:11bde29bf9f389c1,"[div class=""pr"" style=""text-align: center;""][size=14][color=inherit]Erfahren Sie, wie Sie bereits aufgegebene Bestellungen ändern können. 
[/color][/size][/div]"
shoutout###14:650322###1296197::shoutout_action:ss:text:Action Text:bb:bb:3da8a8496c87efad,Bestellung ändern[div][/div]
shoutout###14:650322###1296198::shoutout_action:ss:text:Action Text:bb:bb:51d9cbdd141e9e48,"[swt=1872286]Zeigen Sie mir später[/swt][span style=""font-weight:400 !important; ""] [/span]"
smartwalkthru###19:2187300###1785104::smartwalkthru:ss:name:Name:tx:tx:6553fc261040fe9f,|BIT SWT|Bestellung ändern
smartwalkthru###19:2187300###1785104::smartwalkthru:ms:description:Description:tx:tx:a08b6bd9c3237c51,"Erfahren Sie, wie Sie Ihre kürzlich aufgegebenen Bestellungen einfach ändern können."
smartwalkthru###19:2187300###14855793::balloon_classic:bbc:title:Title:bb:bb:580c13ea08ebbe67,"[div class=""num2Icon""][/div][div class=""mh""]Neue Bestellung direkt von der Homepage ändern [/div]"
smartwalkthru###19:2187300###14855793::balloon_classic:bbc:description:Description:bb:bb:0b1c6512459dbf74,"Sie können Ihre letzten Bestellungen über die Schaltfläche „Bestellaktionen“ ändern oder stornieren.[div]
Klicken Sie zum Fortfahren auf „Weiter“.[/div]"
smartwalkthru###19:2187300###14855794::balloon_classic:bbc:title:Title:bb:bb:bd933b92189b08f9,"[div class=""num1Icon""][/div][div class=""mh""]Gehen Sie über das Menü zu „Alle Bestellungen anzeigen"" [/div]"
smartwalkthru###19:2187300###14855795::balloon_classic:bbc:title:Title:tx:tx:930f61862e9b03ed,"Klicken Sie auf eine bestimmte Bestellnummer, um die Seite mit den Bestelldetails zu öffnen und die verfügbaren Aktionen anzuzeigen"
smartwalkthru###19:2187300###14855799::balloon_classic:bbc:title:Title:tx:tx:840e0d750d1e8944,Sie können diese Bestellung nicht ändern
smartwalkthru###19:2187300###14855799::balloon_classic:bbc:description:Description:tx:tx:7cf76dfe34e40cef,"Dieser Auftrag kann nicht mehr online storniert oder geändert werden, da die Frist überschritten wurde.

Sie können sich an den Kundenbetrieb wenden, um zu sehen, ob er die Bestellung in Ihrem Namen stornieren kann."
smartwalkthru###19:2187300###14855800::balloon_classic:bbc:title:Title:tx:tx:8ae7caf1e6d98bb7,Möglicherweise haben sich Ihre Lieferdaten geändert
smartwalkthru###19:2187300###14855800::balloon_classic:bbc:description:Description:bb:bb:4ebeb2097451b321,"Denken Sie daran, Ihre Daten zu überprüfen, sobald Sie alle Ihre Aktualisierungen vorgenommen haben.[div]
Sie haben den Leitfaden für die Änderung Ihrer Bestellung ausgefüllt.[/div][div]
[/div][div]Sie können Ihre Bestellung jetzt wie gewohnt überprüfen und aufgeben.[/div]"
smartwalkthru###19:2187300###14855802::balloon_classic:bbc:title:Title:tx:tx:b87afd774fe7f772,"Prüfen Sie, wie viel Zeit für die Änderung dieser Bestellung bleibt "
smartwalkthru###19:2187300###14855803::balloon_classic:bbc:title:Title:tx:tx:7742749bde27e733,Hier ändern oder stornieren
smartwalkthru###19:2187300###14855803::balloon_classic:bbc:description:Description:bb:bb:55b0dbc947978a40,"Durch das Ändern einer Bestellung wird der Warenkorb geöffnet, sodass Sie Artikel hinzufügen, entfernen oder aktualisieren können.[div]
Sie sehen nur die Optionen „Abbrechen“ und „Ändern“, wenn Sie sich noch innerhalb der Sperrzeit befinden, um Änderungen vorzunehmen.[/div]"
smartwalkthru###19:2187300###14855804::balloon_classic:bbc:title:Title:tx:tx:0fee04096707a083,Aktualisieren Sie die Produkte in Ihrem Warenkorb
smartwalkthru###19:2187300###14855804::balloon_classic:bbc:description:Description:tx:tx:f4f3dd664e48b35a,"Sie können die Menge aktualisieren oder Produkte hinzufügen und entfernen.
"
smartwalkthru###19:2187300###14855805::balloon_classic:bbc:title:Title:tx:tx:4efa9e35a17b2b1f,Ihre Abholdaten haben sich möglicherweise geändert
smartwalkthru###19:2187300###14855805::balloon_classic:bbc:description:Description:bb:bb:94b13be70bb2a9d2,"Denken Sie daran, Ihre Daten zu überprüfen, sobald Sie alle Ihre Aktualisierungen vorgenommen haben.[div]
Sie haben den Leitfaden für die Änderung Ihrer Bestellung ausgefüllt.  [/div][div]
[/div][div]Sie können jetzt Ihre Bestellung wie gewohnt überprüfen und aufgeben.
[/div]"
smartwalkthru###19:2187300###14855848::balloon_classic:bbc:title:Title:tx:tx:08e3e6083155f20a,Überprüfen Sie Ihr Konto und Ihre Lieferadresse
smartwalkthru###19:2187300###14855849::balloon_classic:bbc:title:Title:tx:tx:8f0eff8f549cd338,"Prüfen Sie, ob die Bestellung für Änderungen geeignet ist"
