IN+1, Incoming - Cheque
IN+2, Incoming - Direct Debit A
IN+3, Incoming - Bank Transfer
IN+5, Incoming - Lockbox *2
IN+7, Incoming - Letter Of Credit
IN+9, Incoming - Bank Giro
IN+B, Incoming - SEPA DD - B2B
IN+C, Outgoing cheque in-House Print
IN+E, Cash Payment
IN+F, FINEDI all currencies
IN+I, Incoming - SEPA DD - CORE
IN+J, Direct Credit for DD Customers
IN+K, Outgoing Direct Debit
IN+L, Rush Wires Outgoing Payment (R
IN+M, Outgoing Payment Manual
IN+N, Outgoing Manual Payment CIBC
IN+O, Controlled Vendor Payments
IN+Q, Outgoing cheqs printed at bank
IN+T, Outgoing Foreign Bank Transfer
IN+U, Outgoing Urgent Payment
IN+X, Outgoing Domestic Bank Transfe
IN+Z, Payment in USD
AE+0, Incoming - Direct Debit B
AE+1, Incoming - Cheque
AE+2, Incoming - Direct Debit A
AE+3, Incoming - Bank Transfer
AE+7, Incoming - Letter Of Credit
AE+9, Incoming - Bank Giro
AE+B, Incoming - SEPA DD - B2B
AE+E, Outgoing SEPA Payment
AE+I, Incoming - SEPA DD - CORE
AE+J, Direct Credit for DD Customers
AE+L, Rush Wires Outgoing Payment (R
AE+O, Controlled Vendor Payments
AE+Q, Outgoing cheqs printed at bank
AE+S, SAME BANK CLEARANCE
AE+T, Outgoing Foreign Bank Transfer
AE+X, Outgoing Domestic Bank Transfe
AE+Z, Payment in USD
EG+1, Incoming - Cheque
EG+2, Incoming - Direct Debit A
EG+3, Incoming - Bank Transfer
EG+J, Direct Credit for DD Customers
EG+K, Outgoing Direct Debit
EG+L, Rush Wires Outgoing Payment (R
EG+M, Outgoing Manual Payment
EG+O, Controlled Vendor Payments
EG+Q, Outgoing cheqs printed at bank
EG+S, SAME BANK CLEARANCE
EG+T, Outgoing Foreign Bank Transfer
EG+X, Outgoing Domestic Bank Transfe
EG+Z, Payment in USD
GB+0, Incoming - Direct Debit B
GB+1, Incoming - Cheque
GB+2, Incoming - Direct Debit A
GB+3, Incoming - Bank Transfer
GB+4, Incoming - Cash
GB+5, Incoming - Lockbox *2
GB+6, Incoming - Credit Card  *1
GB+7, Incoming - Letter Of Credit
GB+8, Incoming - Bill Of Exchange
GB+9, Incoming - Bank Giro
GB+B, Incoming - SEPA DD - B2B
GB+C, Outgoing cheque in-House Print
GB+E, Outgoing SEPA Bank Transfer
GB+H, In House Cash
GB+J, Direct Credit for DD Customers
GB+K, Outgoing Direct Debit
GB+L, Rush Wires Outgoing Payment (R
GB+O, Controlled Vendor Payments
GB+Q, Outgoing cheqs printed at bank
GB+S, SAME BANK CLEARANCE
GB+T, Outgoing Foreign Bank Transfer
GB+U, Outgoing Urgent Payment
GB+V, International - Clearing
GB+X, Outgoing Domestic Bank Transfe
GB+Z, Payment in USD
BG+0, Incoming - Direct Debit B
BG+1, Incoming - Cheque
BG+2, Incoming - Direct Debit A
BG+3, Incoming - Bank Transfer
BG+4, Incoming - Cash
BG+5, Incoming - Lockbox *2
BG+6, Incoming - Credit Card  *1
BG+7, Incoming - Letter Of Credit
BG+8, Incoming - Bill Of Exchange
BG+9, Incoming - Bank Giro
BG+C, Outgoing cheque in-House Print
BG+D, EFT/ACH Credit CCD+
BG+F, FBGEDI all currencies
BG+J, Direct Credit for DD Customers
BG+K, Outgoing Direct Debit
BG+L, Rush Wires Outgoing Payment (R
BG+M, Outgoing Payment Manual
BG+N, Outgoing Manual Payment CIBC
BG+O, Controlled Vendor Payments
BG+Q, Outgoing cheqs printed at bank
BG+R, Rush cheques
BG+T, Outgoing Foreign Bank Transfer
BG+W, Incoming - Spl. Funds Transfer
BG+X, Outgoing Domestic Bank Transfe
BG+Z, Payment in USD
CZ+0, Incoming - Direct Debit B
CZ+1, Incoming - Cheque
CZ+2, Incoming - Direct Debit A
CZ+3, Incoming - Bank Transfer
CZ+4, Incoming - Cash
CZ+5, Incoming - Lockbox *2
CZ+6, Incoming - Credit Card  *1
CZ+7, Incoming - Letter Of Credit
CZ+8, Incoming - Bill Of Exchange
CZ+9, Incoming - Bank Giro
CZ+C, Outgoing cheque in-House Print
CZ+D, EFT/ACH Credit CCD+
CZ+F, FCZEDI all currencies
CZ+J, Direct Credit for DD Customers
CZ+K, Outgoing Direct Debit
CZ+L, Rush Wires Outgoing Payment (R
CZ+M, Outgoing Payment Manual
CZ+N, Outgoing Manual Payment CIBC
CZ+O, Controlled Vendor Payments
CZ+Q, Outgoing cheqs printed at bank
CZ+R, Rush cheques
CZ+T, Outgoing Foreign Bank Transfer
CZ+W, Incoming - Spl. Funds Transfer
CZ+X, Outgoing Domestic Bank Transfe
CZ+Z, Payment in USD
DE+0, Incoming - Direct Debit B
DE+1, Incoming - Cheque
DE+2, Incoming - Direct Debit A
DE+3, Incoming - Bank Transfer
DE+4, Incoming - Cash
DE+5, Incoming - Lockbox *2
DE+7, Incoming - Letter Of Credit
DE+8, Incoming - Bill Of Exchange
DE+9, Incoming - Bank Giro
DE+B, Incoming - SEPA DD - B2B
DE+C, Outgoing cheque in-House Print
DE+H, In House Cash
DE+I, Incoming - SEPA DD - CORE
DE+J, Direct Credit for DD Customers
DE+K, Outgoing Direct Debit
DE+L, Rush Wires Outgoing Payment (R
DE+O, Controlled Vendor Payments
DE+Q, Outgoing cheqs printed at bank
DE+T, Outgoing Foreign Bank Transfer
DE+U, Outgoing Urgent Payment
DE+X, Outgoing Domestic Bank Transfe
DE+Z, Payment in USD
US+0, Incoming - Direct Debit B
US+1, Incoming - Cheque
US+2, Incoming - Direct Debit A
US+3, Incoming - Bank Transfer
US+4, Incoming - Cash
US+5, Incoming - Lockbox *2
US+6, Incoming - Credit Card  *1
US+7, Incoming - Letter Of Credit
US+8, Incoming - Bill Of Exchange
US+9, Incoming - Bank Giro
US+B, Incoming - SEPA DD - B2B
US+C, Outgoing cheque in-House Print
US+J, Direct Credit for DD Customers
US+K, Outgoing Direct Debit
US+O, Controlled Vendor Payments
US+P, ACH Credit PPD
US+Q, Outgoing cheqs printed at bank
US+T, Outgoing Foreign Bank Transfer
US+U, Outgoing Urgent Payment
US+X, Outgoing Domestic Bank Transfe
US+Z, Payment in USD
SA+0, Incoming - Direct Debit B
SA+1, Incoming - Cheque
SA+2, Incoming - Direct Debit A
SA+3, Incoming - Bank Transfer
SA+4, Incoming - Cash
SA+9, Incoming - Bank Giro
SA+B, Incoming - SEPA DD - B2B
SA+I, Incoming - SEPA DD - CORE
SA+Z, Payment in USD
SG+0, Incoming - Direct Debit B
SG+1, Incoming - Cheque
SG+2, Incoming - Direct Debit A
SG+3, Incoming - Bank Transfer
SG+4, Incoming - Cash
SG+5, Incoming - Lockbox *2
SG+6, Incoming - Credit Card  *1
SG+7, Incoming - Letter Of Credit
SG+8, Incoming - Bill Of Exchange
SG+9, Incoming - Bank Giro
SG+B, Incoming - SEPA DD - B2B
SG+E, Outgoing SEPA Bank Transfer
SG+I, Incoming - SEPA DD - CORE
SG+J, Direct Credit for DD Customers
SG+K, Outgoing Direct Debit
SG+L, Rush Wires Outgoing Payment (R
SG+M, Outgoing Payment Manual
SG+O, Controlled Vendor Payments
SG+Q, Outgoing cheqs printed at bank
SG+S, Special Handlng Foreign Paymnt
SG+T, Outgoing Foreign Bank Transfer
SG+U, Outgoing Urgent Payment
SG+V, International - Clearing
SG+X, Outgoing Domestic Bank Transfe
SG+Z, Payment in SGD
BE+0, Incoming - Direct Debit B
BE+1, Chèque
BE+2, Domiciliation
BE+3, Incoming - Bank Transfer
BE+4, Cash
BE+5, Lockbox
BE+6, Incoming - Credit Card  *1
BE+7, Incoming - Letter Of Credit
BE+8, Incoming - Bill Of Exchange
BE+9, Incoming - Bank Giro
BE+B, Domiciliation (B2B)
BE+D, Customer collection - Domicil.
BE+E, Outgoing SEPA BankTransfer
BE+F, Foreign banktransfers
BE+I, Incoming - Bank Giro
BE+J, Direct Credit for DD Customers
BE+K, Outgoing Direct Debit
BE+O, Controlled Vendor Payments
BE+T, Outgoing Foreign Bank Transfer
BE+U, Outgoing Urgent Payment
BE+X, Outgoing Domestic BankTransfer
BE+Z, Payment in USD
PH+0, Incoming - Direct Debit B
PH+1, Incoming - Cheque
PH+2, Incoming - Direct Debit A
PH+3, Incoming - Bank Transfer
PH+4, Incoming - Cash
PH+5, Incoming - Lockbox *2
PH+6, Incoming - Credit Card  *1
PH+7, Incoming - Letter Of Credit
PH+8, Incoming - Bill Of Exchange
PH+9, Incoming - Bank Giro
PH+B, Incoming - SEPA DD - B2B
PH+C, Outgoing cheque in-House Print
PH+I, Incoming - SEPA DD - CORE
PH+J, Direct Credit for DD Customers
PH+K, Outgoing Direct Debit
PH+L, Rush Wires Outgoing Payment (R
PH+O, Controlled Vendor Payments
PH+Q, Outgoing cheqs printed at bank
PH+S, Special Handlng Foreign Paymnt
PH+T, Outgoing Foreign Bank Transfer
PH+U, Outgoing Urgent Payment
PH+W, Incoming - Spl. Funds Transfer
PH+X, Outgoing Domestic Bank Transfe
PH+Z, Payment in USD
ES+0, Incoming - Direct Debit B
ES+1, Incoming - Cheque
ES+2, Incoming - Direct Debit A
ES+3, Incoming - Bank Transfer
ES+8, Incoming - Bill Of Exchange
ES+9, Incoming - Bank Giro
ES+B, Incoming - SEPA DD - B2B
ES+C, Outgoing cheque in-House Print
ES+D, ACH Credit CCD+
ES+E, Outgoing SEPA Bank Transfer
ES+H, In House Cash
ES+I, Incoming - SEPA DD - CORE
ES+J, Direct Credit for DD Customers
ES+K, Outgoing Direct Debit
ES+L, Rush Wires Outgoing Payment (R
ES+M, Outgoing Payment Manual
ES+N, Manual Tax Payments- Via SCB
ES+O, Controlled Vendor Payments
ES+Q, Outgoing cheqs printed at bank
ES+P, ACH Credit PPD
ES+T, Outgoing Foreign Bank Transfer
ES+U, Outgoing Urgent Payment
ES+X, Outgoing Domestic Bank Transfe
ES+Z, Payment in ESD
LU+1, Incoming - Cheque
LU+2, Incoming - Direct Debit A
LU+3, Incoming - Bank Transfer
LU+4, Incoming - Cash
LU+5, Incoming - Lockbox *2
LU+6, Incoming - Credit Card  *1
LU+7, Incoming - Letter Of Credit
LU+8, Incoming - Bill Of Exchange
LU+9, Incoming - Bank Giro
LU+B, Incoming - SEPA DD - B2B
LU+C, Outgoing cheque in-House Print
LU+D, direct debiting
LU+E, Outgoing SEPA Bank Transfer
LU+I, Incoming - SEPA DD - CORE
LU+J, Direct Credit for DD Customers
LU+K, Outgoing Direct Debit
LU+O, Controlled Vendor Payments
LU+Q, Outgoing cheqs printed at bank
LU+T, Outgoing Foreign Bank Transfer
LU+U, Outgoing Urgent Payment
LU+X, Outgoing Domestic Bank Transfe
LU+Z, Payment in USD
CA+0, Incoming - Direct Debit B
CA+1, Incoming - Cheque
CA+2, Incoming - Direct Debit A
CA+3, Incoming - Bank Transfer
CA+4, Incoming - Cash
CA+5, Incoming - Lockbox *2
CA+6, Incoming - Credit Card  *1
CA+7, Incoming - Letter Of Credit
CA+8, Incoming - Bill Of Exchange
CA+9, Incoming - Bank Giro
CA+C, Outgoing cheque in-House Print
CA+D, EFT/ACH Credit CCD+
CA+F, FINEDI all currencies
CA+J, Direct Credit for DD Customers
CA+K, Outgoing Direct Debit
CA+L, Rush Wires Outgoing Payment (R
CA+M, Outgoing Payment Manual
CA+N, Outgoing Manual Payment CIBC
CA+O, Controlled Vendor Payments
CA+Q, Outgoing cheqs printed at bank
CA+R, Rush cheques
CA+T, Outgoing Foreign Bank Transfer
CA+W, Incoming - Spl. Funds Transfer
CA+X, Outgoing Domestic Bank Transfe
CA+Z, Payment in USD
FR+0, Incoming - Direct Debit B
FR+1, Incoming - Cheque
